"Chicago, IL","Milwaukee, WI","Indianapolis, ID","Kansas City, MO","St. Louis, MO","Cincinnati, OH","Columbus, OH","Minneapolis, MN","Detroit, MI","New York, NY","Los Angeles, CA","San Francisco, CA","San Diego, CA","Reno, NV","Houston, TX","Phoenix, AZ","Charlotte, NC","Seattle, WA","Boston, MA","Memphis, TN","Washington, DC","Atlanta, GA","New Orleans, LA","Nashville, TN","Denver, CO","Las Vegas, NV","Austin, TX","Philadelphia, PA","Pittsburgh, PA","Dallas, TX","Corpus Christi, TX","Portland, OR","Billings, MT","Miami, FL","Orlando, FL","Tampa, FL","Little Rock, AR","Providence, RI","Salt Lake City, UT","Tucson, AZ","Albuquerque, NM","Oklahoma City, OK"
2.392,2.275,2.299,2.112,2.112,2.25,2.25,2.271,2.435,2.451,2.986,2.986,2.986,2.603,2.118,2.214,2.214,2.778,2.257,2.074,2.29,2.211,2.128,2.074,2.207,2.603,2.118,2.511,2.511,2.118,2.118,2.6,2.347,2.292,2.292,2.292,2.113,2.266,2.357,2.214,2.216,2.131
49,35,55,35,30,65,75,45,29,75,65,95,62,41,40,59,55,69,75,46,36,35,64,22,57,57,45,53,52,40,60,41,45,60,50,65,32,40,39,32,26,45
